#gen	pop-size	worst	best	median	average	std-deviation
115	50	1000	17.00969809	136.1417787	404.2352031	413.3821678
116	50	1000	17.00969809	275.9634883	529.6425864	438.1892905
117	50	1000	17.00969809	140.1835531	356.4771666	387.990216
118	50	1000	17.00969809	150.549037	392.8494518	402.4869124
119	50	1000	17.00969809	268.5393113	499.8858114	429.9711419
120	50	1000	17.00969809	141.6439383	354.7879926	371.787242
121	50	1000	17.00969809	202.4053428	434.8367572	411.4481487
122	50	1000	17.00969809	202.9241675	367.4016836	365.3312039
123	50	1000	17.00969809	202.1520069	441.9396952	423.4817163
124	50	1000	17.00969809	202.4415962	533.1772574	449.7088496
125	50	1000	17.00969809	148.312827	327.7305941	364.3020666
126	50	1000	17.00969809	152.3374218	300.6863378	334.7017586
127	50	1000	17.00969809	268.4341373	493.49584	419.3175376
128	50	1000	17.00969809	202.1439968	413.6515634	408.020527
129	50	1000	17.00969809	147.786606	309.9121497	351.5767561
130	50	1000	17.00969809	202.5462104	354.2886	369.0248903
131	50	401.8951263	17.00969809	135.9286371	147.2960879	87.71472412
132	50	335.1880425	17.00969809	135.9741075	140.6794777	73.31390493
133	50	1000	17.00969809	135.8345492	208.5482526	270.6715848
